MSA Code,MSA Title,State FIPS Code,State Name,PUMA Code,PUMA Name,MSA 2010 Population,PUMA 2010 Population,Intersection 2010 Population,Percent MSA Population,Percent PUMA Population
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,301,Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA,"19,567,410","109,737","109,737",0.56,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA","19,567,410","115,629","115,629",0.59,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA","19,567,410","136,607","136,607",0.70,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,304,"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA","19,567,410","120,142","120,142",0.61,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA","19,567,410","102,654","102,654",0.52,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA","19,567,410","103,661","103,661",0.53,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA","19,567,410","113,351","113,351",0.58,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,308,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA","19,567,410","103,335","103,335",0.53,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,400,Passaic County (Southeast)--Paterson City PUMA,"19,567,410","146,199","146,199",0.75,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,501,Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA,"19,567,410","137,558","137,558",0.70,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,502,Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA,"19,567,410","109,217","109,217",0.56,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,503,"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA","19,567,410","108,252","108,252",0.55,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,601,Hudson County (Central)--Jersey City (North) PUMA,"19,567,410","133,314","133,314",0.68,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,602,Hudson County (Central)--Jersey City (South) PUMA,"19,567,410","108,122","108,122",0.55,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,701,"Hudson County (North)--West New York, Secaucus & Guttenberg Towns PUMA","19,567,410","137,921","137,921",0.70,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,702,Hudson County (Northeast)--Union City & Hoboken Cities PUMA,"19,567,410","129,014","129,014",0.66,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,703,"Hudson County (South & West)--Bayonne City, Kearney & Harrison Towns PUMA","19,567,410","125,895","125,895",0.64,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,800,Hunterdon County PUMA,"19,567,410","128,349","128,349",0.66,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,901,Middlesex County (Southeast) PUMA,"19,567,410","113,713","113,713",0.58,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,902,Middlesex County (Southwest) PUMA,"19,567,410","111,297","111,297",0.57,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,903,Middlesex County (Northwest)--South Plainfield & Middlesex Boroughs PUMA,"19,567,410","111,865","111,865",0.57,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,904,Middlesex County (North Central)--Metuchen Borough PUMA,"19,567,410","106,061","106,061",0.54,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,905,Middlesex County (Northeast)--Carteret Borough PUMA,"19,567,410","109,601","109,601",0.56,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,906,"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA","19,567,410","148,028","148,028",0.76,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,907,Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA,"19,567,410","109,293","109,293",0.56,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1001,Somerset County (North & West) PUMA,"19,567,410","107,596","107,596",0.55,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1002,Somerset County (South) PUMA,"19,567,410","102,291","102,291",0.52,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1003,Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA,"19,567,410","113,557","113,557",0.58,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1101,Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA,"19,567,410","102,652","102,652",0.52,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1102,Monmouth County (Southwest)--Freehold Borough PUMA,"19,567,410","109,133","109,133",0.56,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1103,"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA","19,567,410","106,309","106,309",0.54,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1104,Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs PUMA,"19,567,410","101,539","101,539",0.52,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1105,Monmouth County (Northwest)--Keansburg Borough PUMA,"19,567,410","108,010","108,010",0.55,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1106,Monmouth County (Central) PUMA,"19,567,410","102,737","102,737",0.53,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1201,Ocean County (South) PUMA,"19,567,410","115,953","115,953",0.59,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1202,Ocean County (Central)--Beachwood Borough PUMA,"19,567,410","108,171","108,171",0.55,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1203,Ocean County (North Central) PUMA,"19,567,410","138,560","138,560",0.71,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1204,Ocean County (Northwest) PUMA,"19,567,410","109,001","109,001",0.56,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1205,Ocean County (Northeast)--Point Pleasant Borough PUMA,"19,567,410","104,882","104,882",0.54,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1301,Essex County (Southeast)--Newark City (North & East) PUMA,"19,567,410","153,788","153,788",0.79,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1302,Essex County (Southeast)--Newark City (Southwest) PUMA,"19,567,410","123,352","123,352",0.63,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1401,Essex County (Northeast) PUMA,"19,567,410","111,611","111,611",0.57,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1402,Essex County (South Central)--East Orange City PUMA,"19,567,410","188,395","188,395",0.96,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1403,Essex County (Northwest) PUMA,"19,567,410","105,282","105,282",0.54,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1404,Essex County (Southwest) PUMA,"19,567,410","101,541","101,541",0.52,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1501,Morris County (North)--Dover Town & Kinnelon Borough PUMA,"19,567,410","130,108","130,108",0.66,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1502,Morris County (West) PUMA,"19,567,410","129,498","129,498",0.66,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1503,Morris County (East)--Lincoln Park Borough PUMA,"19,567,410","113,214","113,214",0.58,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1504,"Morris County (South)--Morristown Town, Madison & Florham Park Boroughs PUMA","19,567,410","119,456","119,456",0.61,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1600,Sussex County PUMA,"19,567,410","149,265","149,265",0.76,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1800,Union County (Northeast)--Elizabeth City PUMA,"19,567,410","124,969","124,969",0.64,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1901,Union County (North Central)--Roselle Park Borough PUMA,"19,567,410","105,200","105,200",0.54,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1902,Union County (Northwest)--Summit City & Westfield Town (North) PUMA,"19,567,410","101,818","101,818",0.52,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1903,Union County (Southwest)--Plainfield City & Westfield Town (South) PUMA,"19,567,410","100,718","100,718",0.51,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,1904,"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA","19,567,410","103,794","103,794",0.53,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,2801,Dutchess County (North & East) PUMA,"19,567,410","127,686","127,686",0.65,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,2802,Dutchess County (Southwest) PUMA,"19,567,410","169,802","169,802",0.87,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,2901,Orange County (Northeast)--Greater Newburgh City PUMA,"19,567,410","119,218","119,218",0.61,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,2902,Orange County (Northwest) PUMA,"19,567,410","124,140","124,140",0.63,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,2903,Orange County (Southeast) PUMA,"19,567,410","129,455","129,455",0.66,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3001,Rockland County (North)--New City & Congers PUMA,"19,567,410","103,331","103,331",0.53,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA","19,567,410","103,499","103,499",0.53,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3003,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA","19,567,410","104,857","104,857",0.54,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3101,Putnam County PUMA,"19,567,410","102,303","102,303",0.52,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3102,Westchester County (Northwest) PUMA,"19,567,410","146,573","146,573",0.75,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3103,Westchester County (Northeast) PUMA,"19,567,410","134,163","134,163",0.69,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3104,Westchester County (Southeast) PUMA,"19,567,410","118,276","118,276",0.60,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3105,Westchester County (Central)--White Plains City PUMA,"19,567,410","162,419","162,419",0.83,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3106,Westchester County (Southwest)--Yonkers City PUMA,"19,567,410","195,976","195,976",1.00,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3107,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,"19,567,410","189,113","189,113",0.97,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3201,Nassau County (Northwest)--North Hempstead Town (North) PUMA,"19,567,410","112,079","112,079",0.57,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3202,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,"19,567,410","111,631","111,631",0.57,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3203,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,"19,567,410","101,395","101,395",0.52,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3204,Nassau County (West Central)--North Hempstead Town (South) PUMA,"19,567,410","114,256","114,256",0.58,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3205,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,"19,567,410","113,542","113,542",0.58,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3206,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,"19,567,410","143,976","143,976",0.74,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3207,Nassau County (Central)--Hempstead Town (Northeast) PUMA,"19,567,410","114,066","114,066",0.58,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3208,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,"19,567,410","107,139","107,139",0.55,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3209,Nassau County (Central)--Hempstead Town (East Central) PUMA,"19,567,410","104,693","104,693",0.54,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3210,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,"19,567,410","103,996","103,996",0.53,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3211,Nassau County (West Central)--Hempstead Town (West Central) PUMA,"19,567,410","107,855","107,855",0.55,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3212,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,"19,567,410","104,904","104,904",0.54,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3301,Suffolk County (Northwest)--Huntington Town (North) PUMA,"19,567,410","102,170","102,170",0.52,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3302,Suffolk County (Northwest)--Huntington Town (South) PUMA,"19,567,410","101,094","101,094",0.52,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3303,Suffolk County (Northwest)--Smithtown Town PUMA,"19,567,410","117,801","117,801",0.60,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3304,Suffolk County (North Central)--Brookhaven Town (North) PUMA,"19,567,410","119,632","119,632",0.61,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3305,Suffolk County (East) PUMA,"19,567,410","136,775","136,775",0.70,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3306,Suffolk County (South Central)--Brookhaven Town (South) PUMA,"19,567,410","130,407","130,407",0.67,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3307,Suffolk County (Central)--Brookhaven Town (Central) PUMA,"19,567,410","126,204","126,204",0.64,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3308,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,"19,567,410","110,121","110,121",0.56,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3309,Suffolk County (Central)--Islip Town (East) PUMA,"19,567,410","101,410","101,410",0.52,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3310,Suffolk County (Central)--Islip Town (Northwest) PUMA,"19,567,410","128,744","128,744",0.66,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3311,Suffolk County (Southwest)--Islip Town (South) PUMA,"19,567,410","105,389","105,389",0.54,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3312,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,"19,567,410","100,567","100,567",0.51,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3313,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,"19,567,410","113,036","113,036",0.58,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA","19,567,410","108,121","108,121",0.55,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA","19,567,410","138,360","138,360",0.71,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA","19,567,410","115,014","115,014",0.59,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA","19,567,410","123,764","123,764",0.63,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA","19,567,410","161,372","161,372",0.82,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA","19,567,410","127,405","127,405",0.65,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA","19,567,410","134,257","134,257",0.69,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA","19,567,410","139,293","139,293",0.71,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA","19,567,410","181,404","181,404",0.93,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA","19,567,410","156,118","156,118",0.80,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA","19,567,410","198,483","198,483",1.01,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA","19,567,410","127,399","127,399",0.65,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3803,NYC-Manhattan Community District 10--Central Harlem PUMA,"19,567,410","118,665","118,665",0.61,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3804,NYC-Manhattan Community District 11--East Harlem PUMA,"19,567,410","117,569","117,569",0.60,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3805,NYC-Manhattan Community District 8--Upper East Side PUMA,"19,567,410","219,920","219,920",1.12,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3806,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,"19,567,410","193,892","193,892",0.99,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA","19,567,410","144,664","144,664",0.74,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA","19,567,410","151,010","151,010",0.77,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3809,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,"19,567,410","164,937","164,937",0.84,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA","19,567,410","149,334","149,334",0.76,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA","19,567,410","159,958","159,958",0.82,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,"19,567,410","133,016","133,016",0.68,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,3903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA","19,567,410","175,756","175,756",0.90,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,"19,567,410","147,577","147,577",0.75,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4002,NYC-Brooklyn Community District 4--Bushwick PUMA,"19,567,410","129,253","129,253",0.66,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,"19,567,410","134,217","134,217",0.69,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,"19,567,410","118,579","118,579",0.61,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA","19,567,410","106,002","106,002",0.54,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,"19,567,410","123,018","123,018",0.63,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,"19,567,410","119,578","119,578",0.61,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4008,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,"19,567,410","154,541","154,541",0.79,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,"19,567,410","193,723","193,723",0.99,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA","19,567,410","135,648","135,648",0.69,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA","19,567,410","107,129","107,129",0.55,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,"19,567,410","147,374","147,374",0.75,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,"19,567,410","121,790","121,790",0.62,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA","19,567,410","163,547","163,547",0.84,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4015,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,"19,567,410","158,639","158,639",0.81,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA","19,567,410","147,751","147,751",0.76,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,"19,567,410","181,636","181,636",0.93,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,"19,567,410","114,698","114,698",0.59,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4101,NYC-Queens Community District 1--Astoria & Long Island City PUMA,"19,567,410","174,174","174,174",0.89,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4102,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,"19,567,410","183,339","183,339",0.94,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA","19,567,410","248,328","248,328",1.27,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA","19,567,410","116,852","116,852",0.60,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA","19,567,410","188,688","188,688",0.96,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA","19,567,410","154,017","154,017",0.79,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4107,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,"19,567,410","146,141","146,141",0.75,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4108,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,"19,567,410","111,988","111,988",0.57,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4109,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,"19,567,410","133,918","133,918",0.68,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA","19,567,410","170,331","170,331",0.87,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4111,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,"19,567,410","143,047","143,047",0.73,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA","19,567,410","221,519","221,519",1.13,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4113,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,"19,567,410","123,402","123,402",0.63,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,4114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA","19,567,410","114,978","114,978",0.59,100.00
35620,"New York-Newark-Jersey City, NY-NJ-PA",42,Pennsylvania,500,"Pike, Wayne & Susquehanna Counties PUMA","19,567,410","153,547","57,369",0.29,37.36
31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,3701,Los Angeles County (North/Unincorporated)--Castaic PUMA,"12,828,837","139,801","139,801",1.09,100.00
31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,3702,Los Angeles County (Northwest)--Santa Clarita City PUMA,"12,828,837","188,102","188,102",1.47,100.00
31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,3703,Los Angeles County (North Central)--Lancaster City PUMA,"12,828,837","163,632","163,632",1.28,100.00
31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,3704,Los Angeles County (North Central)--Palmdale City PUMA,"12,828,837","164,268","164,268",1.28,100.00
31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,3705,Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA,"12,828,837","166,932","166,932",1.30,100.00
31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,3706,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA,"12,828,837","136,414","136,414",1.06,100.00
